"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSGALG00000006713",42.828148164656,-0.109378129131122,0.217567730539988,-0.502731397067261,0.615153132138234,0.798673591580807
"ENSGALG00000023852",11.9204846386696,-0.126781582239198,0.27784277084106,-0.456306931634092,0.648169280119788,0.819735696038276
"ENSGALG00000006706",592.460229601449,-0.621931696356265,0.179848153275911,-3.4580933138754,0.000544012923649698,0.0143233757145008
"ENSGALG00000006690",89.6870143731487,0.285757970458778,0.23888943068796,1.19619344244676,0.231621079275857,0.476474025281654
"ENSGALG00000006700",89.5742913140508,-0.509249415551717,0.271636914190322,-1.87474304466186,0.0608280820486911,0.224343361508769
"ENSGALG00000006694",1703.64442088232,0.117404936197233,0.172612013387526,0.680166657541101,0.496398941695779,0.716854203747442
"ENSGALG00000003674",281.803448140878,0.306256443312646,0.142380689879139,2.15096895212836,0.0314786503791929,0.154393328295859
"ENSGALG00000014036",716.312817920886,-0.656083381843663,0.188121960269917,-3.48754276694925,0.000487480953141641,0.0134337355082138
"ENSGALG00000013967",30.5230069003482,0.506425711947156,0.221765837850038,2.28360561237394,0.0223947196494221,0.126268576872755
"ENSGALG00000014038",1246.22259704831,-0.127365280446881,0.165319328172174,-0.770419780040695,0.44105092381532,0.673847509973181
"ENSGALG00000009866",13.1092247754124,0.702323199645452,0.32212670437945,2.18027003069621,0.0292374511956015,0.147972389527457
"ENSGALG00000027168",52.1610166625429,-0.289640621662931,0.301337488123313,-0.961183500489007,0.336459910915679,0.582973044724154
"ENSGALG00000013738",298.850362988705,-0.204061035367558,0.158564853834613,-1.28692475307547,0.198120516665355,0.435031432560923
"ENSGALG00000005870",1710.52763585243,-0.215286356422667,0.212962717357413,-1.01091101341159,0.31205902231817,0.563204740837808
"ENSGALG00000014565",72.2563833960081,-0.117953313730848,0.275364011302339,-0.428354138120612,0.668393309107175,0.83150783520386
"ENSGALG00000014575",1884.23711830312,-0.102603751738893,0.134262188397187,-0.764204374766783,0.444745459940104,0.676755242201284
"ENSGALG00000006682",106.994283277731,-0.194652488748353,0.150655757299985,-1.29203484975859,0.19634507607198,0.432817628913576
"ENSGALG00000006671",1339.63859492791,0.155122472429487,0.198000207322109,0.783446010120241,0.433365246511964,0.668293051327795
"ENSGALG00000006656",61.6018336599186,-0.178973390355421,0.272459082568295,-0.656881718415679,0.511256974073597,0.727227751556429
"ENSGALG00000025161",0.759479685925981,0.157494259973677,0.355676515993408,0.442801964402383,0.657908982335415,NA
"ENSGALG00000028708",273.286175673806,-0.46198124090181,0.231064780033386,-1.99935810570118,0.0455696213894358,0.190935019583766
"ENSGALG00000006643",481.731134045275,-0.362771024390825,0.132547550924017,-2.73691231457596,0.00620188215175407,0.0632591979478915
"ENSGALG00000013920",4516.37948235099,-0.586871482591037,0.171804461874269,-3.41592689845578,0.000635653085027253,0.0156428950247646
"ENSGALG00000013926",84.6917100088548,-0.288090053773129,0.209624210852634,-1.37431670035317,0.169343383885431,0.399664472327531
"ENSGALG00000000451",5.31174856878308,-0.135735918423005,0.372215020546848,-0.364670717005418,0.715357219906487,0.859163451080183
"ENSGALG00000006633",11.9937890929803,-0.305735347596422,0.324622225932948,-0.941818899546244,0.346285367292537,0.591683443981802
"ENSGALG00000006628",256.302911292352,-0.0216996796433762,0.238505610942104,-0.0909818412978287,0.927507019751761,0.969662519211771
"ENSGALG00000027038",0.613436589805825,-0.0623994118433886,0.315847667859645,-0.197561730521048,0.843387979200688,NA
"ENSGALG00000006606",308.855328873979,-0.400917283736227,0.250966106100097,-1.59749573345304,0.110155247973579,0.313842214335241
"ENSGALG00000006576",0.537616741163912,-0.0707234616792732,0.289718691005406,-0.244110800838713,0.807145007693834,NA
"ENSGALG00000023801",0.0769861952941824,-0.075019429490894,0.124225496059177,-0.603897202029742,0.545911989146172,NA
"ENSGALG00000006563",483.286227334642,0.122637852643236,0.232639510488921,0.527158316252888,0.598083652620736,0.787851916355597
